Gold,Silver,BGMI,XAU
113,4.319,231.93,
113.35,4.329,,
112.85,4.301,,
110.25,4.194,,
109.15,4.272,,
109,4.35,199.65,
107.3,4.268,,
105.1,4.228,,
103.5,4.105,,
105.5,4.194,,
104.2,4.21,196.44,
103.05,4.105,,
104,4.088,,
107.35,4.291,,
105.55,4.285,208.82,
112,4.351,,
113,4.36,,
113,4.445,,
111.75,4.274,,
114,4.29,221.86,
113.95,4.183,,
112.9,4.151,,
109.5,4.173995,,
115.3,4.284,,
116.85,4.256,224.83,
115.1,4.233005,,
118.6,4.338995,,
120.75,4.337,,
119,4.378,,
118.45,4.377,222.11,
118.75,4.42899,,
117.75,4.37,,
116.5,4.37,,
116.1,4.39,,
116.25,4.36,216.47,
114.9,4.309,,
114.3,4.343,,
114.75,4.306995,,
116.25,4.295,,
114.55,4.244,222.67,
113.65,4.131,,
114.75,4.177,,
114.25,4.212,,
114.9,4.208,,
115,4.162,212.29,
116.2,4.202,,
115.6,4.195,,
114.85,4.181,,
115.4,4.2,,
116.15,4.205,218.68,
115.65,4.147,,
117.15,4.155,,
117.65,4.151,,
123.5,4.28,,
122.3,4.271,240.3,
122,4.298995,,
122.2,4.295,,
124,4.355,,
124.5,4.294,,
125.6,4.362,241.74,
130,4.387,,
130.25,4.325,,
135.9,4.444,,
135,4.462,,
135,4.447,283.03,
138.2,4.57,,
134.75,4.366005,,
131.7,4.342,,
129.1,4.309,,
131.15,4.336,267.68,
132.75,4.379,,
134.15,4.39,,
131.1,4.348,,
131.3,4.34,,
130,4.318005,280.88,
128.75,4.252,,
130.1,4.28,,
130.5,4.242,,
131.15,4.331,,
131,4.306,292.95,
133,4.371,,
134.2,4.364,,
134.65,4.34399,,
136,4.38899,,
137,4.365,299.91,
136,4.341,,
134.1,4.332,,
134.9,4.377,,
133,4.342,,
133.15,4.334,283.8,
131.5,4.315,,
133.75,4.325,,
133.9,4.35,,
132.9,4.313,,
133.05,4.32101,272.36,
134.2,4.352,,
134.65,4.368,,
134.55,4.355,281.61,
136.1,4.426,,
134,4.391,,
132.825,4.386,,
133.45,4.398,281.83,
131.45,4.382,,
129.4,4.313,,
130.45,4.331,,
131.65,4.343,,
131.25,4.332,276.79,
131,4.349,,
132.65,4.381,,
132.4,4.36101,,
132.75,4.415,,
133,4.399,273.98,
132.3,4.434,,
132.9,4.48,,
132.95,4.48,,
132.2,4.534,,
131.3,4.463995,264.41,
132.1,4.44601,,
132.85,4.46899,,
131.8,4.44601,,
132.6,4.5,,
132.4,4.476,248.06,
133.3,4.532,,
135,4.505,,
136.25,4.544,,
136.2,4.508995,,
135.15,4.473,270.91,
136.3,4.497,,
135.9,4.495,,
135.95,4.5,,
136.45,4.521,,
136.6,4.534,274.68,
137.25,4.55,,
137.5,4.561,,
138.15,4.546,,
140.5,4.653005,,
140.85,4.595,300.42,
142.25,4.733005,,
142.1,4.718,,
144.9,4.8,,
145.35,4.798995,,
145,4.771,303.43,
147.75,4.885,,
147.7,4.87,,
146.25,4.808,,
147.4,4.834,,
145.75,4.808,298.77,
145.65,4.82101,,
146.1,4.818005,,
147.5,4.88899,,
148.4,4.885,,
150.25,4.919,299.84,
151.4,4.945,,
151.35,4.956,,
152.2,4.973,,
153.25,4.952,,
153.6,4.975,292.1,
151.2,4.873,,
150,4.763,,
148.9,4.83,,
149.8,4.829,,
148.25,4.836,286.21,
149.75,4.888,,
148.85,4.819,,
147.2,4.703,,
148.9,4.75,,
,,275.28,
149.5,4.773,,
152.3,4.801,,
152.2,4.8,,
151.4,4.785,273.83,
151,4.828,,
150.7,4.851,,
149.6,4.801,,
148.1,4.798,,
149.6,4.856,263.2,
149.3,4.822,,
147.25,4.729,,
147.5,4.777,,
146.6,4.726,,
146.5,4.713,256.35,
147.5,4.774,,
148.15,4.783,,
147.6,4.779,,
147,4.71899,,
147.75,4.74,274.97,
147.8,4.744,,
147.85,4.739,,
147.6,4.766995,,
147.1,4.73601,,
147.6,4.79,275.34,
147.6,4.768,,
147.75,4.768,,
146.85,4.727,,
146.8,4.693005,,
147.05,4.725,266.5,
146.55,4.649,,
144.8,4.61,,
145,4.62,,
144.35,4.536005,,
143.9,4.606,255.36,
144,4.569,,
143.2,4.561,,
143.75,4.585,,
142.45,4.577,,
142.6,4.548995,258.95,
142.4,4.54,,
141.4,4.433,,
140,4.386,254.72,
139.5,4.418,,
137.6,4.333,,
137.2,4.369,,
139.8,4.436,,
139.2,4.395,249.34,
139.5,4.467,,
141,4.5,,
139.5,4.421,,
140.2,4.45,,
140.9,4.461,250.67,
141.6,4.5,,
142.7,4.51,,
142.3,4.51,,
142.95,4.507,,
143.05,4.523,261.04,
140.55,4.43,,
141.4,4.454,,
141.05,4.436,,
141.25,4.461,,
142.2,4.449,258.86,
141.05,4.467,,
142,4.484,,
142.75,4.5,,
144.2,4.529,,
144.15,4.562,268.27,
143.75,4.545,,
145,4.58,,
144.1,4.585,,
144.2,4.57,,
144.3,4.568005,275.19,
145.75,4.624,,
145.55,4.626,,
145.8,4.6,,
144.75,4.582,,
144.5,4.52,268.5,
144.8,4.51399,,
145.2,4.527,,
145.85,4.55399,,
146.5,4.582,,
146,4.55,325.78,
146.15,4.565,,
146.5,4.57101,,
145.85,4.555,,
145.75,4.556,,
145.5,4.513,278.43,
144.3,4.423,,
143.35,4.368,,
144.1,4.411005,,
143.75,4.379,,
144.4,4.42899,269.86,
144.2,4.404,,
143.75,4.364,,
144,4.407,,
144.4,4.399,,
144.2,4.397,260.29,
145.65,4.419,,
146,4.448,,
145.6,4.47,,
146.2,4.467,262.75,
147.8,4.518,,
147.85,4.512,,
146.85,4.478,,
147.5,4.51,,
147.15,4.447,280.56,
148,4.495,,
147.8,4.46,,
147.75,4.448,,
147.85,4.474,,
147.95,4.491005,283.74,
149.2,4.563,,
149.3,4.546,,
150.65,4.606,,
151.5,4.621,,
151.4,4.586,304.53,
152.35,4.595,,
152.75,4.61,,
153,4.62,,
153,4.618,,
153.9,4.645,302.21,
155.1,4.65601,,
155.1,4.641995,,
155.2,4.666,,
154.25,4.635,,
153.6,4.63899,296.56,
156.8,4.664,,
156.5,4.715,,
157.7,4.7525,,
157.2,4.757,,
157.4,4.753,312.22,
160.8,4.823,,
160.6,4.809,,
161.55,4.84,,
159.65,4.771,,
160.95,4.806,296.77,
162.7,4.827,,
163.5,4.864,,
163.65,4.877,,
161.55,4.80399,,
161.2,4.812,292.71,
160.8,4.852,,
162.55,4.875,,
161.75,4.836,,
163.2,4.836,,
164.7,4.886,301,
166.5,4.92899,,
164.7,4.874,,
167.2,4.965,,
167,4.941,,
168.15,4.968,290.31,
166.5,4.908,,
162.25,4.797,,
161.75,4.806,,
159.75,4.816,,
160.2,4.843,281.84,
158.5,4.793,,
156.65,4.703,,
158.5,4.744,,
159,4.729,,
157.9,4.715,279.4,
160.5,4.791,,
159.85,4.728,,
159.8,4.742,,
160.1,4.779,,
158.6,4.7,287.09,
158.6,4.713995,,
161.25,4.78,,
160.6,4.74,,
160.4,4.766,,
158.8,4.76,292.53,
158,4.74,,
157.35,4.663,,
160.4,4.71899,,
159.65,4.6775,,
159.25,4.675,287.21,
159.75,4.681995,,
159.8,4.669,,
159.9,4.721,,
159.9,4.662,,
162.05,4.7,275.59,
164.1,4.756,,
165.5,4.798,,
165.6,4.756,290.22,
168.6,4.87,,
172.5,4.97,,
166.3,4.818005,,
168.9,4.86101,309.6,
168.6,4.866005,,
173.5,4.963995,,
172.9,4.942,,
174.2,4.977,,
172.4,4.915,311.48,
174.45,4.99,,
174.25,4.968,,
172.3,4.926,,
172.85,4.925,,
173.3,4.922,307.9,
174.95,4.937,,
177.1,5.052,,
177,5.024,,
176,4.996,,
176.15,4.993,309.22,
175.9,4.956,,
175.2,4.95,,
176.6,5,,
175,4.937,,
175.2,4.901,294.6,
175.5,4.918,,
175.7,4.905,,
175,4.883,,
174,4.851,,
174,4.896,290.33,
176.5,4.931,,
177.5,4.953,,
178.55,4.94601,,
179.25,4.996,,
179.6,5.02,294.7,
181.6,5.052,,
181.4,5.041,,
181.35,5.034,,
182.6,5.036005,,
183.75,5.03,292.82,
182.1,4.951005,,
182,4.96899,,
183.8,5.007,,
183.5,4.985,,
183.8,5.004,295.24,
184.1,5.001,,
185.4,5.076005,,
188.8,5.32101,,
187.95,5.29201,,
186.9,5.235,307.25,
185.2,5.308,,
187.65,5.479,,
186.75,5.42899,,
185.55,5.41701,,
184.5,5.454,298.51,
181.35,5.294,,
177.25,5.17,,
178.55,5.24701,,
182.1,5.276,,
,,301.08,
183.2,5.407,,
182.7,5.37299,,
179.4,5.29201,,
180.75,5.345,296.34,
182.75,5.41701,,
179.8,5.354,,
178.65,5.272,,
182,5.334,,
179.25,5.24701,294.86,
178.7,5.25201,,
179.65,5.275,,
180.7,5.313,,
179.4,5.261,,
178.2,5.21899,286.43,
175.1,5.141,,
173.3,5.074,,
173.8,5.114,,
169.7,4.98601,,
171,5.035,274.66,
169,4.98,,
168,4.916,,
168.1,4.97,,
169.35,4.998,,
170,4.998,282.45,
169.15,4.977,,
170.3,5.046,,
172.85,5.081,,
172.55,5.087,290.95,
171.95,5.051,,
172.15,5.046,,
173.1,5.061,,
174.85,5.12201,,
175.1,5.088,285.77,
175,5.07,,
177.1,5.1,,
176.4,5.115,,
176.75,5.143,,
178.65,5.201005,289.2,
179.35,5.20799,,
180.25,5.191,,
179.6,5.181,,
179.35,5.16701,,
178.95,5.211,294.65,
181.7,5.36,,
184.9,5.466,,
183.25,5.401,,
184.5,5.45,299.86,
182.5,5.342005,,
181.95,5.301,,
182.35,5.353,,
183.4,5.30399,,
181,5.261,290.83,
181.4,5.245,,
181.6,5.265,,
183.65,5.329,,
182.55,5.25799,,
184,5.331,300.26,
184.15,5.319,,
186.35,5.405,,
186.1,5.37201,,
185.55,5.32101,,
185.2,5.33,298.23,
185.1,5.33,,
185.1,5.341,,
185.25,5.37299,,
184.6,5.343,,
183.2,5.277,303.63,
183,5.272,,
185,5.30399,,
184.4,5.298995,,
183.45,5.267,,
183.85,5.23601,304.72,
185.5,5.282,,
185.35,5.28701,,
185.7,5.29201,,
186.7,5.324,,
186,5.286005,300,
185.05,5.251,,
185.4,5.237,,
185.75,5.24201,,
187.4,5.303,,
190.75,5.41299,325.56,
195.5,5.536005,,
194.05,5.456,,
194.7,5.5,,
194.7,5.454,,
198.8,5.598,368.63,
198.9,5.572995,,
207.5,5.716,,
203.25,5.599,,
201.75,5.552005,,
201.35,5.52,356.14,
205,5.576005,,
206.75,5.581,,
208,5.581,,
205.85,5.491005,,
209.85,5.629,377.83,
212.25,5.675,,
215.9,5.74299,,
215.7,5.66,,
210.45,5.525,,
212.75,5.54201,358.67,
205.15,5.407,,
207.3,5.45701,,
198.35,5.353,,
202.7,5.451005,,
198.85,5.397,354.81,
199.4,5.435,,
206.6,5.53,,
207.3,5.53101,,
208.1,5.519,368.72,
212.5,5.586,,
211.2,5.562,,
211.75,5.561,,
210.85,5.522,,
208.6,5.496,375.37,
205.7,5.471,,
207.15,5.499,,
206.8,5.519,,
211.2,5.601,,
210.65,5.57101,384.83,
209.3,5.551,,
211.1,5.6,,
213.5,5.648,,
215.9,5.678,,
214.35,5.62,387.15,
216.65,5.693,,
219.1,5.73,,
217.15,5.657995,,
217.45,5.676,,
217.45,5.66799,387.43,
217,5.67299,,
218.8,5.767,,
223,5.853,,
223.4,5.84399,,
223.2,5.83701,409.55,
222.45,5.796,,
223.6,5.989,,
226,5.975,,
227.2,6.013,,
225.05,5.931,406.06,
224.3,5.892,,
228,5.968,,
229.25,5.989,,
227,5.919,,
227.45,5.925,406.06,
229,5.914,,
226.3,5.829,,
230.1,5.936,,
233.3,6.11101,,
234.15,6.115,384.07,
241.3,6.249,,
243.65,6.26399,,
238.65,6.133995,,
220.4,5.854,,
219.55,5.806,348.69,
208.25,5.775,,
214.4,5.856,,
221.75,5.887005,,
216.6,5.815,,
209.6,5.727,337.51,
209.1,5.72,,
210.6,5.858,,
207,5.773,,
197.1,5.671,,
198.3,5.775,312.24,
199.15,5.925,,
199.1,5.928,,
197.9,5.947,,
201.35,5.984,,
202.75,6.03701,317.78,
199.7,6.016,,
197.2,5.97,,
193.65,5.897,,
193.7,5.907995,,
194.05,5.949,299.89,
197.7,5.942,,
196.65,5.865,,
195.5,5.841,,
198.1,5.857,,
200.35,5.858,326.25,
205.4,5.899,,
204.05,5.84399,,
203,5.854,,
202.8,5.869,,
205.6,5.88,313.28,
212.2,5.98,,
220.35,6.025,,
216.75,5.981,,
213.25,5.943,,
216,5.95299,314.59,
220.75,5.989,,
223,6.028,,
224.5,6.021,326.52,
227.15,6.08299,,
222.1,5.989,,
222.5,5.982,,
226.7,5.984,322.17,
224.1,6.008995,,
224,6.019,,
220.4,5.98,,
221.2,5.99299,,
216.6,5.935,323.31,
216.55,5.942,,
219,6.04201,,
225,6.19601,,
227.8,6.209,,
230.7,6.24201,344.44,
234.4,6.331,,
230.8,6.276,,
234.5,6.41,,
235.1,6.532,,
234.35,6.54799,351.73,
234.05,6.607,,
233.65,6.595,,
233.05,6.711,,
232.4,6.644,,
229.9,6.615,344.38,
238.8,7.07799,,
242.55,7.062,,
249,7.307,,
254,7.515,,
243.9,7.004,357.65,
249.6,7.365,,
244,7.11799,,
237.6,6.951005,,
245,7.265,,
245.95,7.35,349.71,
249.6,7.69,,
248,7.687,,
249.25,7.85,,
251.15,7.801,,
252.1,7.718,359.2,
250.3,7.751,,
247.8,7.50299,,
250.9,7.689,,
249.3,7.624,,
248.7,7.686,356.29,
242.8,7.36799,,
239.3,7.392,,
242,7.37701,,
238.75,7.226,,
240.5,7.24701,341.21,
241.1,7.26399,,
239.4,7.126,,
239.9,7.16299,,
239.8,7.141,,
243.35,7.345,351.46,
243.85,7.354,,
242,7.324,,
240.25,7.375,,
242.9,7.581,,
242.15,7.555,355.28,
244.3,7.669,,
246.3,7.726,,
243.75,7.63899,,
241.6,7.505,,
239.65,7.45299,358.57,
240.05,7.461,,
239.9,7.43,,
239.8,7.331,,
240.5,7.391,,
239.85,7.393,350.76,
240,7.491005,,
239.6,7.57799,,
239.1,7.52,,
233.75,7.386,,
,,335.24,
231.75,7.34,,
234.5,7.391,,
241,7.52,,
237.8,7.371,346.1,
236.75,7.355,,
240,7.44601,,
241.5,7.443,,
242.25,7.508995,,
242.75,7.57,352.88,
243.45,7.651,,
247.7,8.02,,
246.6,7.886,,
245.9,7.926,,
247.65,8.009,362.53,
250.2,8.28399,,
247,8.118,,
251.7,8.375,,
251.1,8.352,377.43,
250.65,8.26799,,
253.4,8.468,,
256.1,8.425,,
257.55,8.39,,
257.5,8.331,375.99,
261.05,8.43101,,
265.15,8.54,,
264.4,8.6,,
263,8.588,,
270,8.741,384.94,
276.1,8.946,,
272.6,8.67,,
277.15,8.772,,
276.7,8.634,399.68,
273.6,8.43,,
275.75,8.494,,
280.75,8.638,,
279.3,8.446,,
277.4,8.491,397.66,
282.4,8.624,,
278.9,8.448,,
276.1,8.294,,
278.8,8.42,,
279.3,8.48,382.48,
279.9,8.481,,
279.25,8.45,,
280.7,8.65,,
280.6,8.673,,
281.95,8.755,393.02,
284.5,8.823,,
281.9,8.639,,
281,8.632,,
281.3,8.52799,,
276.45,8.536,378.8,
282.2,8.69701,,
281.8,8.602,,
283.3,8.745,,
286.75,8.838,,
290.2,8.93101,404,
290.25,8.89201,,
289.9,9.042,,
290.6,9.12,,
290.75,9.185,,
288.6,8.922,375.48,
291.4,9.06899,,
296.5,9.401,,
303.85,9.564,,
300.1,9.352,,
298.5,9.30299,388.19,
303.6,9.561,,
306.5,9.582,,
303,9.365,,
307,9.485,,
305.4,9.501,381.39,
304.65,9.332,,
295.35,9.083,,
290.95,9.095,,
292.85,9.125,,
288.5,9.002,360.94,
287,8.86,,
282.5,8.782,,
287.1,8.795,,
292.75,9.006,,
302.8,9.131,372.14,
304.1,9.089,,
293,8.837,,
300.25,9.088,,
296.5,9.065,,
298.7,9.247,372.85,
299.1,9.149,,
298.9,9.15899,,
311.5,9.514,,
309.6,9.496,,
314.7,9.756,412.25,
316.2,9.949,,
314.05,10.082,,
318.65,10.386,,
317.75,10.32,408,
319.3,10.905,,
323.9,10.948,,
329.25,11.48,,
340.85,12.548,,
331.15,11.72201,410.51,
336.4,12.2,,
338.65,12.21,,
336.95,12.285,,
334.35,11.94099,,
345.75,13,409.17,
350.75,13.4,,
371.35,18.303,,
376,15.48,,
375.35,16.5,,
373,14.03901,438.61,
377,16,,
375.9,14.75,,
370.8,14.72,,
386.25,16.31,,
397,16.25,474.1,
399.5,17.09,,
437,18.1,,
418.5,17,,
394.5,14.9,,
367.5,15.3,442.49,
376.75,15.3,,
377,16.2,,
409.25,16.9,,
400,16.745,,
387.75,16.975,425.15,
400.2,17.74,,
398.6,17.46402,,
386.4,16.8,,
382,16.21,,
388.75,17.313,429.49,
395.5,17.45,,
387.6,17.016,,
389,17.21,,
391.2,17.122,,
374.8,16.49,404.59,
374.5,15.792,,
376,16.011,,
379.75,16.6,,
379.7,16.32,,
373,16.015,395.45,
378,16.2,,
382.8,16.53,,
392.5,16.74,,
392.5,16.4,,
389.75,16.405,413.03,
393,16.45,,
388,16.21,,
389.25,16.06,,
387.5,16.1,,
386.75,16.2,401.77,
390,16.38,,
389,16.23,,
396.8,16.45,,
394.85,16.19,,
390.15,16.08,409.32,
393,16.28,,
393.4,16.712,,
405.35,17.97,,
410.9,18.66,,
417.2,19,433.99,
428,19.88,,
435,19.515,,
427.25,19.1,,
434.5,19.58,,
428.9,19.105,453.76,
431.35,19.009,,
442.75,19.85,,
449.75,20.14,,
458.75,20.518,,
459.5,20.9,508.77,
460.6,21.6,,
473.5,23.206,,
494,23.87,,
477.25,23.5,,
474.9,23.44,503.11,
485.9,24.6,,
508.75,27.51,,
515,27.85,546.65,
524,32.2,,
559,39.95,,
632,37,,
596,32.75,617.66,
634,39,,
615.75,33.52,,
599.25,33.15,,
608.25,33.955,,
610,36.61,606.49,
647.75,39.75,,
682,44,,
765,48.012,,
728.25,43.35,,
825.5,49.45,736.66,
843,49,,
763,41.55,,
650,38.478,,
712,41.5,,
691.5,38.3,672.49,
629,35.3,,
678,37,,
703.5,37.35,,
668,35.28,,
675,35.314,717.33,
672,34.5,,
661.25,33.755,,
696,39.12,,
704,38.3,,
688.5,36.8,729.18,
714.5,40.25,,
703.75,39.49,,
695.5,38.86,,
688,37.433,,
674.5,36.10804,683.24,
665.25,35.75,,
661.75,35.35,,
625,30,,
646.5,33.5,,
643.5,33.2,702.12,
625,32.8,,
636.75,33.5,,
629,33,,
638,35.01,,
640,35.52,730.37,
637,34.75,,
633.25,34.64,,
641.75,36.31,,
634.25,35.53804,,
602.25,32.45,720.6,
602,30.61802,,
569,28.15,,
582.5,29.65,,
574.3,27,,
502.75,23.01,608.07,
480,19.01,,
474,16.6,,
514,20.65,,
561,22.6,,
535,21.03,615.92,
544,23.05,,
548.5,21.255,,
525,19.65,,
486,16,,
490,13.99,527.84,
503.25,13.49402,,
501.5,16.99,,
498,14.99,,
491.25,14.75,,
,,538.6,
518.4,16.62,,
547,17.6,,
539.5,15.54,,
532,15.62,591.09,
532.8,15.84,,
495.5,14.55098,,
513.5,14.75,,
511.5,14.75,,
511.75,14.579,554.21,
506.5,14.2,,
494.5,13.56,,
506.75,14,,
514.25,14.251,,
552,15.52,603.95,
535.25,13.75,,
513,13.87,,
519.25,13.83401,,
507.75,12,,
510,13.1,601.33,
517.5,13.4,,
509.25,12.7,,
513.75,13.23,,
510.5,13.01,569.71,
510.5,12.74,,
510,12.76,,
518.5,13.065,,
516.25,12.772,,
516.1,12.795,573.77,
515.1,12.4,,
509.8,12,,
511.75,12.001,,
507.5,10.89,,
510.5,11.374,579.55,
514.2,12.3,,
524,13.98,,
521,13.07,,
531.4,13.7,627.81,
563,14.65,,
554.5,14.167,,
568,15.15,,
581.5,16,,
598,17.025,679.97,
627.5,17.85,,
606.5,15.6,,
595,15.46,,
588.75,15.3,,
609.25,16.15,725.13,
599,16,,
590.75,15.5,,
602.5,15.787,,
598,15.5,,
603.75,15.71,744.1,
596,15.465,,
599.75,15.47,,
617.5,16.07,,
623.25,16.099,,
631.5,16.26,786.17,
662.5,16.75,,
656,17.101,,
672,17.294,,
664.5,16.767,,
668.5,16.9,805.66,
665.75,16.8,,
688.75,17.46,,
678,17.004,,
665,16.49,,
663.5,16.2,826.27,
649,15.89901,,
621,15.5,,
624.5,15.95,,
630.25,15.987,,
610,15.36099,794.3,
620.75,15.565,,
611.5,15.453,,
632,15.96,,
635.5,16.173,,
652.5,16.65,854.2,
643.25,16.37,,
645.5,16.37,,
636.5,16.28,,
618,15.78,,
622,15.61,835.45,
622.25,15.675,,
635.5,16.07,,
628.5,15.9,,
632.5,16.15,,
631.25,16.162,857.34,
614.5,15.66,,
613.25,15.65,,
615.95,15.8,,
623,15.831,,
626,15.86,827.83,
609.75,15.481,,
620.75,15.81201,,
622.75,15.931,,
640.5,16.225,,
639.5,16.19,864.83,
629,16.1,,
632.75,16.065,,
633.75,16.16,,
633.75,16.06,906.52,
626.25,15.99,,
632.25,16.186,,
636.7,16.205,,
637.25,16.282,,
647.5,17.029,1013.21,
660,18.1,,
674,18.75,,
686,19.718,,
676.5,19.42,,
693.5,21.65,1198.3,
672.5,19.726,,
668,19.78,,
678.25,21.75,,
674,20.93,,
674.5,20.95,1119.71,
698.75,22.92,,
720.5,23.25,,
711,23.54,,
705,21.4,,
697,22.24,1247.75,
687.25,21.31,,
670,20.50098,,
679.25,21.752,,
675.75,21.2,,
670.25,19.91,1223.31,
671.5,20.5,,
679.5,20.85,,
674.5,20.7,,
681.75,21.372,,
683.5,21.47,1285.16,
683.5,21.26,,
674,20.66698,,
676.25,21.03,,
673.5,21,,
667.75,20.6,1244.01,
664.2,20.15,,
652.75,19.69,,
659.5,19.9,,
649.25,19,,
628,18.93,1154.49,
633.5,18.9,,
631,18.64,,
643.5,19.125,,
643.5,19.453,,
636,18.875,1200.83,
634.3,18.83,,
648,19.753,,
655,20.1,,
633.75,18.85,,
603,17.5,1112.54,
617,18.551,,
598.75,17.6,,
614.5,18.13,,
616,18.32,,
615.7,18.539,1111.74,
609.25,18.14702,,
616.25,18.405,,
628.25,18.9,,
634.5,19.294,,
637.75,19.26,1152.97,
635,19.005,,
613.5,17.94,,
625.5,18.56903,,
620,18.45,,
621.5,18.422,1124.89,
635.5,18.902,,
629.25,18.62,,
627.5,18.47,,
632.7,18.622,,
620.25,18.05,1152.71,
615.25,17.42902,,
612.5,17.2,,
594.5,16.115,,
573.5,14.87901,,
553.5,14.3,920.9,
581,15.998,,
559.75,14.45,,
572,15.11,,
577,15.6,,
573.5,15.3,968.56,
594,15.91,,
596.5,16.148,,
604,16.5,,
,,997.9,
602.25,16.208,,
587,15.59,,
589.5,15.5,,
,,923.77,
592,15.8,,
599.25,16.303,,
588.75,15.8,,
573.75,15.4,,
579.75,15.63,888.75,
564.25,14.819,,
566,14.962,,
561.5,15,,
566.75,15.148,,
562.75,14.9,850.22,
558.75,14.85902,,
563.5,14.97,,
576,15.353,,
567,14.96,,
552,14.21,834.93,
530.25,13.4,,
517,13.525,,
524.5,13.475,,
505,13.05,,
507.5,13.15,800.48,
493.25,12.855,,
482,12.47,,
504.25,13.33,,
497,13.202,,
506.5,13.35,789.7,
515,13.9,,
517.75,13.865,,
505,13.34799,,
493.5,13.01,,
492.5,12.685,758.97,
487,12.72901,,
498.5,13.30098,,
502,13.169,,
505.5,12.99,,
514.75,13.249,760,
506.5,13,,
503.75,13.019,,
505.75,13,,
495.25,12.61,,
490.25,12.53,694.45,
474.5,11.6,,
466.25,11.57,,
475.75,11.97,,
457,11.26,,
462,11.55,678.1,
473.25,11.80299,,
484.5,12.135,,
475.5,11.75,,
477.5,11.74,,
492,12.14299,731.91,
499.25,12.47,,
498.25,12.42,,
510.25,12.855,,
512.75,12.98,,
509.5,12.901,787.07,
535.75,13.31201,,
531,12.7,,
533.25,13.08,,
534,12.885,,
547.25,13.15,849.69,
529.5,12.526,,
514.25,12.33,,
516.75,12.03,,
517,12.2,,
523.5,12.18,803.58,
534.25,12.33,,
517,11.96,,
508,11.96,,
512,11.615,,
491,11.4,773.94,
475.5,10.95,,
483,11.28,,
480.25,11.22,,
481.5,11.11,,
,,792.65,
481,11.13,,
497,11.55,,
490.5,11.35,,
491.75,11.395,803.55,
488.75,11.231,,
484.25,11.179,,
478.5,11.03099,,
481,11.065,,
484.75,11.13,828.38,
476.75,10.88,,
482.75,10.989,,
479.25,10.91,,
481.75,11.105,835.97,
501,11.42,,
487,11.1,,
486.5,11.01701,,
480.75,10.86902,,
482.5,10.905,837.68,
481.75,10.945,,
483.25,10.93701,,
478.25,10.95,,
480,10.832,,
472.75,10.651,813.45,
468.5,10.335,,
467.75,10.24,,
472,10.561,,
478.75,10.585,816.19,
481.25,10.673,,
473.5,10.48,,
474,10.499,,
463.75,10.03,,
460.25,9.994,764.77,
460,10.101,,
463,10.25,,
463.25,10.199,,
464.25,10.15,,
467,10.47,749.67,
472.25,10.54,,
466.75,10.15,,
463.25,10.06,,
460.25,9.975,,
457.75,9.91,728.51,
462,10.07201,,
465,10.242,,
462.25,10.11,,
454.5,9.901,,
443.75,9.2,683.67,
431.5,8.586,,
421.5,8.3,,
421.25,8.45,,
410,8.311,,
413.75,8.441,671.01,
403.5,8.199,,
403.5,8.47299,,
400,8.327,,
406,8.71,,
415.25,8.92,721.59,
417.75,9.02,,
403.25,8.68,,
408,8.68,,
417.25,8.985,,
414.5,8.88,760.25,
414.75,8.875,,
408,8.542,,
409.25,8.7,,
410.5,8.615,,
407.5,8.46,750.63,
409.75,8.51,,
403,8.345,,
402.25,8.412,,
405.25,8.51,729.92,
392.5,8.24,,
391.75,8.26,,
392.6,8.28,,
395,8.421,,
399,8.512,790.28,
393.2,8.345,,
396.5,8.552,,
408.5,8.98,,
407.5,8.91,,
411.5,9.31,790.1,
409.5,8.97,,
422.5,9.425,,
433.5,9.72,,
430.5,9.479,,
428.5,9.485,802.17,
428.5,9.49,,
410.5,8.7,,
413,8.82,,
414.75,8.885,,
425.5,9.154,780.75,
422.5,9.15,,
431.5,9.397,,
435.25,9.592,,
440.25,9.95,818.95,
437.25,9.85,,
434.25,10.02799,,
436.25,10.19,,
448,10.923,,
447.75,10.783,799.03,
456,11.243,,
455.25,11.03,,
449.75,10.905,,
456,11.05,,
446.75,10.06,759.75,
459.25,10.259,,
460.25,10.32,,
458,10.172,,
450.5,9.785,,
451.75,9.54,754.72,
427.5,8.769,,
432.5,9.02,,
426.5,8.95,,
435.25,9.32,,
433.25,9.332,734.86,
440.75,9.445,,
434.95,9.039,,
445,9.28,,
441.75,9.23,,
452.25,9.492,778.97,
451.6,9.4825,,
443.9,9.302,,
445.25,9.325,,
446.85,9.691,,
441.25,9.501,777.5,
440.75,9.363,,
437.2,9.23,,
433.3,9.095,,
434.6,9.09,,
433.5,9.08,733.7,
428,8.95,,
426.8,8.933,,
431.5,9.151,,
422.25,8.93101,,
429,9.12,708.56,
431,9.168,,
427.75,9.009,,
431,9.148,,
428.9,9.06899,,
427.75,9.046,729.1,
430.1,9.111,,
422.75,8.89,,
412.75,8.625,,
412.25,8.578,,
414,8.67,681.22,
408.25,8.29,,
395.75,8.04,,
400.75,8.17,,
401,8.196,,
401,8.19,637.09,
396,8.03,,
398,8.10799,,
406,8.17,,
409.75,8.196,,
411.25,8.23201,645.71,
415.5,8.266,,
405,8.068,,
405.25,8.09,,
419,8.487,,
423.5,8.75,659.48,
417.25,8.682,,
417.25,8.78,,
408.25,8.635,,
407,8.48,,
409,8.503,649.99,
419.25,8.7,,
413.25,8.52,,
418,8.6975,,
418,8.825,,
